Name,PastPoints,Year
Connor McDavid,324,1997
Nikita Kucherov,313,1993
Sidney Crosby,278,1987
Patrick Kane,275,1988
Brad Marchand,270,1988
Blake Wheeler,256,1986
Leon Draisaitl,252,1995
Nathan MacKinnon,249,1995
Alexander Ovechkin,245,1985
Claude Giroux,245,1988
Phil Kessel,244,1987
Johnny Gaudreau,244,1993
Artemi Panarin,243,1991
Evgeni Malkin,242,1986
John Tavares,238,1990
David Pastrnak,231,1996
Nicklas Bäckström,231,1987
Tyler Seguin,230,1992
Mark Scheifele,226,1993
Aleksander Barkov,226,1995
Mitchell Marner,224,1997
Evgeny Kuznetsov,214,1992
Jakub Vorácek,212,1989
Vladimir Tarasenko,209,1991
Mikko Rantanen,209,1996
Auston Matthews,205,1997
Sean Monahan,204,1994
Steven Stamkos,204,1990
Anze Kopitar,204,1987
Jack Eichel,203,1996
Jamie Benn,201,1989
Brayden Point,198,1996
Joe Pavelski,198,1984
Alexander Radulov,198,1986
Sebastian Aho,197,1997
Patrice Bergeron,195,1985
Eric Staal,193,1984
Ryan O'Reilly,193,1991
Jonathan Toews,191,1988
Mikael Granlund,190,1992
Mark Stone,189,1992
Mike Hoffman,187,1989
Jonathan Huberdeau,187,1993
Sean Couturier,186,1992
Jonathan Marchessault,185,1990
Patrik Laine,184,1998
Logan Couture,183,1989
Taylor Hall,183,1991
Joshua Bailey,183,1989
Teuvo Teräväinen,182,1994
Ryan Getzlaf,182,1985
Brayden Schenn,179,1991
Ryan Johansen,179,1992
Cam Atkinson,177,1989
Jeff Skinner,175,1992
Matthew Tkachuk,174,1997
Filip Forsberg,172,1994
David Krejcí,171,1986
Gabriel Landeskog,170,1992
Matt Duchene,170,1991
Viktor Arvidsson,169,1993
Dylan Larkin,168,1996
Elias Lindholm,167,1994
Anders Lee,165,1990
James van Riemsdyk,164,1989
Rickard Rakell,163,1993
Vincent Trocheck,163,1993
Sam Reinhart,162,1995
Nikolaj Ehlers,161,1996
J.T. Miller,161,1993
Nazem Kadri,160,1990
Ryan Nugent-Hopkins,160,1993
William Karlsson,159,1993
Mika Zibanejad,158,1993
David Perron,158,1988
Jake Guentzel,157,1994
T.J. Oshie,157,1986
Bo Horvat,157,1995
Max Domi,155,1995
Evander Kane,153,1991
Jason Zucker,153,1992
Justin Williams,152,1981
Jonathan Drouin,152,1995
Mats Zuccarello,152,1987
Reilly Smith,150,1991
Jaden Schwartz,150,1992
William Nylander,149,1996
Dustin Brown,148,1984
Kevin Hayes,148,1992
Gustav Nyquist,148,1989
Kyle Palmieri,147,1991
Jordan Eberle,147,1990
Mathew Barzal,147,1997
Derek Stepan,146,1990
Mikael Backlund,145,1989
Max Pacioretty,144,1988
Chris Kreider,142,1991
Tyler Johnson,142,1990
Tomas Hertl,142,1993
Nino Niederreiter,142,1992
Thomas Vanek,140,1984
Tomas Tatar,138,1990
Joe Thornton,137,1979
Alex Galchenyuk,136,1994
Tyler Bozak,136,1986
Brendan Gallagher,135,1992
Brandon Saad,135,1992
Evgeny Dadonov,135,1989
Paul Stastny,135,1985
Brock Nelson,133,1991
Anthony Mantha,132,1994
Jakob Silfverberg,132,1990
Adam Henrique,132,1990
Mikko Koivu,132,1983
Bryan Little,131,1987
Wayne Simmonds,130,1988
Patrick Marleau,130,1979
Patric Hörnqvist,130,1987
Ryan Dzingel,129,1992
Kyle Turris,129,1989
Alex DeBrincat,128,1997
Kyle Connor,128,1996
Zach Parise,127,1984
Charlie Coyle,127,1992
Travis Konecny,124,1997
Alexander Steen,124,1984
Henrik Zetterberg,124,1980
Alex Killorn,123,1989
Jeff Carter,121,1985
Ondrej Palat,121,1991
Yanni Gourde,120,1991
Nick Foligno,119,1987
Jordan Staal,119,1988
Alexander Wennberg,119,1994
Craig Smith,118,1989
Kyle Okposo,118,1988
Phillip Danault,118,1993
Conor Sheary,117,1992
Travis Zajac,117,1985
Andreas Athanasiou,116,1994
Brock Boeser,116,1997
Kevin Labanc,116,1995
Tyler Toffoli,114,1992
Mathieu Perreault,114,1988
Clayton Keller,114,1998
Artem Anisimov,113,1988
Patrick Maroon,113,1988
Richard Panik,112,1991
Jason Pominville,112,1982
Corey Perry,112,1985
