Name
Leon Draisaitl
Brad Marchand
Alex Ovechkin
Patrice Bergeron
Paul Stastny
Zach Hyman
Shayne Gostisbehere
Kevin Shatternkirk
Mathew Dumba
Ben Bishop
Aleksander Barkov
Artemi Panarin
Phil Kessel
Dylan Larkin
Vladimir Tarasenko
Jamie Benn
Nico Hicsher
Alex Galchenyuk
Mikhail Sergachev
Mikko Rantanen
Mark Sheiffle
Jonathan Toews
Sean Couturier
Logan Couture
Max Pacioretty
Roman Josi
P.K. Subban
Quinn Hughes
Mathew Tkachuk
Evgeny Kuznetzov
Max Domi
Evgeny Dadonov
J.T. Miller
Taylor Hall
Kristopher Letang
Ryan McDonaugh
Justin Faulk
Alex DeBrincat
Jack Eichel
Pierre-Luc Dubois
Patrik Laine
Travis Konecny
Rasnus Dahlin
Miro Heiskanen
Charlie McAvoy
Tyler Segin
Teuvo Teravainen
Gabriel Langdeskog
Ryan Nugent-Hopkins
Mats Zuccarello
Jaden Schwartz
Casey Mittelstadt
Drew Doughty
Oliver Ekman-Larson
Steven Stamkos
Mika Zibanejad
Elias Petterson
Brayden Schenn
Vincent Trochek
Nick Schmaltz
Zach Werenski
Doug Hamilton
Ryan Pulock
Marc-Andre Fleury
Elias Lindholm
Nicklas Backstrom
Evgeni Malkin
Cam Atkinson
Viktor Arvidsson
David Perron
Alex Pietrangelo
Aaron Ekblad
Jake Gardiner
Brayden Point
Matt Duchene
Kyle Connor
Mathew Barzal
Jordan Eberle
Marcus Johanson
Erik Karlson
Seth Jones
Marc-Edouard Vlasic
Cam Talbot
Sebastien Aho
Jake Guentzel
Jeff Skinner
Bo Horvat
Nikolaj Ehlers
Charlie Coyle
Alexander Wennberg
Colin Miller
Auston Matthews
Alexander Radulov
Evander Kane
Brock Boeser
James van Riemsdyk
Jake DeBrusk
Noah Hanifin
Ivan Provorov
John Tavares
Ryan O'Reilly
Chris Kreider
Calyton Keller
Andrei Svechnikov
Valdislav Namestnikov
William Nylander
Kyle Turris
Dustin Byfuglien
Jaccob Slavin
