id,fullName,points(2020-2021),average(2018-2021)
8474056,P.K. Subban,19,22.666666666666668
8476418,Robbie Russo,15,24.333333333333332
8476462,Dougie Hamilton,42,40.333333333333336
8476923,Damon Severson,21,19.333333333333332
8477435,Ryan Graves,15,16.666666666666668
8478399,Jonas Siegenthaler,0,0.0
8478841,Colton White,7,6.333333333333333
8478868,Christian Jaros,3,6.333333333333333
8480054,Reilly Walsh,15,24.333333333333332
8480860,Kevin Bahl,5,2.6666666666666665
8480883,Ty Smith,23,28.333333333333332
8481208,Jeremy Groleau,0,2.3333333333333335
8481537,Nikita Okhotiuk,6,8.333333333333334
8481583,Michael Vukojevic,11,14.333333333333334
8470187,Johnny Boychuk,11,16.0
8472382,Andy Greene,5,6.333333333333333
8474066,Thomas Hickey,2,3.0
8476429,Scott Mayfield,15,15.666666666666666
8476917,Adam Pelech,14,14.666666666666666
8477506,Ryan Pulock,17,29.666666666666668
8478450,Parker Wotherspoon,4,18.0
8478481,Mitchell Vande Sompel,5,21.666666666666668
8480071,Robin Salo,0,10.333333333333334
8480222,Sebastian Aho,2,26.0
8480306,Grant Hutton,5,15.666666666666666
8480826,Bode Wilde,6,6.333333333333333
8480865,Noah Dobson,14,7.333333333333333
8481541,Samuel Bolduc,14,19.0
8475747,Patrik Nemeth,2,6.333333333333333
8475797,Jarred Tinordi,1,2.3333333333333335
8475868,Anthony Bitetto,0,4.0
8476885,Jacob Trouba,12,29.666666666666668
8477419,Mason Geertsen,5,9.666666666666666
8479323,Adam Fox,47,30.0
8479324,Ryan Lindgren,16,10.666666666666666
8479333,Libor Hajek,1,2.3333333333333335
8479462,Tarmo Reunanen,2,9.333333333333334
8480817,K'Andre Miller,12,10.666666666666666
8480878,Nils Lundkvist,1,12.666666666666666
8481525,Matthew Robertson,22,24.333333333333332
8481708,Zac Jones,3,10.333333333333334
8482073,Braden Schneider,3,10.333333333333334
8471735,Keith Yandle,27,44.666666666666664
8474027,Justin Braun,6,13.666666666666666
8475176,Ryan Ellis,18,32.333333333333336
8476372,Nick Seeler,2,1.0
8476431,Adam Clendening,4,16.666666666666668
8477499,Rasmus Ristolainen,18,31.333333333333332
8477948,Travis Sanheim,15,25.0
8478500,Ivan Provorov,2,21.333333333333332
8479534,Linus Hogberg,8,11.333333333333334
8480984,Wyatte Wylie,7,39.333333333333336
8481178,Egor Zamula,6,4.0
8481428,Cooper Zech,10,10.333333333333334
8481546,Cam York,5,10.333333333333334
8481658,Mason Millman,3,24.0
8471724,Kris Letang,45,48.333333333333336
8475208,Brian Dumoulin,14,15.0
8476166,Taylor Fedun,0,3.6666666666666665
8476875,Mike Matheson,16,21.0
8477244,Chad Ruhwedel,2,4.333333333333333
8477969,Marcus Pettersson,9,10.666666666666666
8478017,Mark Friedman,3,7.0
8478507,John Marino,13,16.666666666666668
8480058,Pierre-Olivier Joseph,13,11.666666666666666
8480945,Juuso Riikola,0,3.0
8482058,Cam Lee,11,15.666666666666666
8475186,John Moore,2,2.0
8475762,Derek Forbort,12,4.333333333333333
8476422,Mike Reilly,8,13.0
8476891,Matt Grzelcyk,20,19.666666666666668
8477343,Tyler Lewington,0,4.666666666666667
8477365,Connor Clifton,7,3.0
8478415,Jakub Zboril,8,12.0
8478443,Brandon Carlo,4,11.0
8479325,Charlie McAvoy,30,30.0
8480001,Urho Vaakanainen,1,2.0
8480264,Victor Berglund,21,14.666666666666666
8480404,Brady Lyle,3,27.333333333333332
8482059,Nick Wolff,5,5.666666666666667
8482072,Jack Ahcan,0,3.3333333333333335
8480839,Rasmus Dahlin,23,35.666666666666664
8475796,Mark Pysyk,4,11.0
8475869,Brandon Davidson,0,6.666666666666667
8476525,Colin Miller,12,17.333333333333332
8477355,Will Butcher,11,20.666666666666668
8477462,Robert Hagg,5,6.0
8479289,Ethan Prow,20,34.0
8479578,Casey Fitzgerald,11,11.0
8480035,Henri Jokiharju,8,9.333333333333334
