id,fullName,points(2020-2021),average(2018-2021)
8475193,Tomas Tatar,30,33.333333333333336
8476808,Brian Flynn,34,25.333333333333332
8477341,Andreas Johnsson,11,25.0
8477425,Miles Wood,25,24.0
8478029,Chase De Leo,35,20.0
8478401,Pavel Zacha,35,24.0
8478421,A.J. Greer,14,5.333333333333333
8479407,Jesper Bratt,30,22.333333333333332
8479415,Michael McLeod,15,13.333333333333334
8479511,Janne Kuokkanen,7,12.666666666666666
8479970,Joseph Gambardella,13,29.666666666666668
8480002,Nico Hischier,2,16.333333333333332
8480003,Jesper Boqvist,7,8.0
8480026,Nate Schnarr,15,10.666666666666666
8480188,Fabian Zetterlund,19,16.0
8480226,Marian Studenic,1,3.0
8480237,Aarne Talvitie,3,11.666666666666666
8481068,Yegor Sharangovich,3,10.333333333333334
8481518,Nolan Foote,17,8.0
8481559,Jack Hughes,31,33.333333333333336
8481578,Graeme Clarke,18,12.0
8481740,Tyce Thompson,4,10.0
8482110,Dawson Mercer,6,14.0
8482125,Alexander Holtz,3,8.0
8482714,Chase Stillman,16,8.0
8475314,Anders Lee,19,37.666666666666664
8479356,Kieffer Bellows,3,12.333333333333334
8473463,Leo Komarov,8,16.0
8473504,Cal Clutterbuck,11,6.0
8474573,Josh Bailey,35,44.666666666666664
8474709,Matt Martin,11,11.0
8475151,Kyle Palmieri,4,22.0
8475209,Richard Panik,4,11.666666666666666
8475231,Casey Cizikas,14,20.333333333333332
8475754,Brock Nelson,33,46.666666666666664
8476419,Jean-Gabriel Pageau,28,23.333333333333332
8477527,Ross Johnston,1,3.0
8478367,Cole Bardreau,16,7.333333333333333
8478445,Mathew Barzal,45,55.666666666666664
8478463,Anthony Beauvillier,28,31.666666666666668
8478512,Austin Czarnik,0,12.0
8479526,Otto Koivula,11,14.0
8479551,Collin Adams,34,23.0
8480242,Arnaud Durandeau,8,8.0
8480789,Oliver Wahlstrom,8,11.333333333333334
8481601,Simon Holmstrom,5,4.666666666666667
8481666,Reece Newkirk,12,34.666666666666664
8482691,Aatu Raty,7,5.666666666666667
8471817,Ryan Reaves,5,13.333333333333334
8475184,Chris Kreider,30,26.333333333333332
8475735,Greg McKegg,2,4.0
8476458,Ryan Strome,49,47.0
8476459,Mika Zibanejad,50,66.33333333333333
8476624,Barclay Goodrow,20,15.333333333333334
8477380,Jonny Brodzinski,17,16.0
8478104,Sammy Blais,15,15.333333333333334
8478211,Dryden Hunt,8,13.666666666666666
8478550,Artemi Panarin,58,80.0
8479291,Kevin Rooney,0,7.666666666666667
8479317,Ty Ronning,18,15.0
8479328,Julien Gauthier,8,15.666666666666666
8479364,Tim Gettinger,19,15.333333333333334
8479447,Anthony Greco,14,12.333333333333334
8480078,Filip Chytil,4,11.666666666666666
8480289,Morgan Barron,21,18.0
8480833,Vitali Kravtsov,0,9.333333333333334
8480986,Lauri Pajuniemi,38,26.0
8481438,Jake Elmer,12,11.666666666666666
8481548,Karl Henriksson,2,5.666666666666667
8481554,Kaapo Kakko,17,17.0
8482054,Patrick Khodorenko,10,14.333333333333334
8482065,Austin Rueschhoff,8,20.333333333333332
8482109,Alexis Lafrenière,21,47.666666666666664
8482157,William Cuylle,5,16.666666666666668
8482179,Justin Richards,11,12.333333333333334
8482747,Brennan Othmann,6,18.333333333333332
8470775,Nate Thompson,5,6.666666666666667
8473512,Claude Giroux,43,60.333333333333336
8473544,Derick Brassard,20,18.666666666666668
8474037,James van Riemsdyk,43,29.333333333333332
8474715,Cam Atkinson,34,43.0
8475763,Kevin Hayes,31,28.333333333333332
8476461,Sean Couturier,41,34.666666666666664
8476872,Scott Laughton,20,26.333333333333332
8477352,Ryan Fitzgerald,21,28.333333333333332
8477502,Samuel Morin,2,1.0
8477979,Nicolas Aube-Kubel,12,11.666666666666666
8478051,Max Willman,16,16.666666666666668
8478067,Oskar Lindblom,14,12.333333333333334
8478439,Travis Konecny,34,48.0
8479322,Wade Allison,9,13.0
8479382,Connor Bunnaman,2,4.0
8479424,German Rubtsov,11,8.0
8479550,Tanner Laczynski,10,14.666666666666666
8479933,Gerald Mayhew,18,26.666666666666668
8480017,Matthew Strome,1,4.0
8480019,Isaac Ratcliffe,8,35.0
8480028,Morgan Frost,0,12.0
8480201,Maksim Sushko,0,1.6666666666666667
8480797,Joel Farabee,38,21.0
8482159,Tyson Foerster,17,40.0
8482161,Zayde Wisdom,18,29.0
8482243,Linus Sandin,10,18.666666666666668
8482452,Elliot Desnoyers,49,28.333333333333332
8482654,Jackson Cates,27,17.0
8482727,Samu Tuomaala,31,14.0
8483010,Jon-Randall Avon,0,4.333333333333333
8470604,Jeff Carter,11,19.0
8471215,Evgeni Malkin,28,36.333333333333336
8471675,Sidney Crosby,62,69.66666666666667
8475722,Jason Zucker,18,19.666666666666668
8475808,Michael Chaput,0,9.666666666666666
8475810,Bryan Rust,42,44.333333333333336
8476927,Teddy Blueger,22,16.0
8476934,Brock McGinn,13,18.666666666666668
8477404,Jake Guentzel,57,58.666666666666664
8477953,Kasperi Kapanen,30,36.666666666666664
8478043,Sam Lafferty,6,7.333333333333333
8478046,Danton Heinen,14,13.333333333333334
8478074,Anthony Angello,10,13.0
8478542,Evan Rodrigues,14,8.0
8478866,Dominik Simon,0,7.333333333333333
8479512,Kasper Bjorkqvist,0,9.0
8479944,Zach Aston-Reese,15,12.333333333333334
8482055,Drew O'Connor,10,10.0
8482241,Radim Zohorna,22,12.333333333333334
8470638,Patrice Bergeron,48,61.0
8473419,Brad Marchand,69,85.33333333333333
8473422,Nick Foligno,4,17.0
8475225,Craig Smith,32,33.666666666666664
8475287,Erik Haula,21,15.0
8475745,Charlie Coyle,16,19.666666666666668
8475791,Taylor Hall,14,20.0
8476396,Steven Fogarty,10,16.666666666666668
8477320,Anton Blidh,7,3.3333333333333335
8477508,Curtis Lazar,4,9.0
8477931,Tomas Nosek,18,16.666666666666668
8477956,David Pastrnak,48,74.66666666666667
8478485,Zach Senyshyn,13,9.666666666666666
8478498,Jake DeBrusk,14,30.333333333333332
8478888,Cameron Hughes,21,12.333333333333334
8479350,Matt Filipe,2,9.666666666666666
8479365,Trent Frederic,5,12.333333333333334
8479533,Joona Koppanen,17,9.333333333333334
8479546,Oskar Steen,15,8.666666666666666
8480021,Jack Studnicka,7,19.666666666666668
8480838,Curtis Hall,1,9.666666666666666
8480880,Jakub Lauko,10,10.666666666666666
8480901,Karson Kuhlman,3,3.3333333333333335
8481157,Samuel Asselin,16,23.666666666666668
8482763,Fabian Lysell,9,8.333333333333334
8482834,Jesper Froden,1,15.0
8476878,Zemgus Girgensons,1,12.666666666666666
8478403,Jack Eichel,18,34.666666666666664
8482759,Viljami Marjala,27,22.666666666666668
8482865,Josh Bloom,2,6.333333333333333
8482896,Tyson Kozak,1,13.666666666666666
8473449,Kyle Okposo,13,20.333333333333332
8475236,Cody Eakin,7,7.333333333333333
