id,fullName,points(2020-2021),average(2018-2021)
8473541,Jonathan Bernier,18,22.0
8475809,Scott Wedgewood,6,6.0
8478406,Mackenzie Blackwood,28,30.666666666666668
8481033,Akira Schmid,0,0
8482076,Nico Daws,0,0
8473575,Semyon Varlamov,0,39.0
8478009,Ilya Sorokin,26,26.0
8478965,Ken Appleby,0,0
8480819,Jakub Skarek,0,0
8476234,Keith Kinkaid,6,12.666666666666666
8478048,Igor Shesterkin,32,26.0
8478903,Adam Huska,0,0
8479596,Tyler Wall,0,0
8480382,Alexandar Georgiev,16,26.0
8474889,Martin Jones,30,45.333333333333336
8478433,Felix Sandstrom,0,0
8479394,Carter Hart,18,32.666666666666664
8481035,Samuel Ersson,0,0
8475839,Louis Domingue,0,16.0
8477465,Tristan Jarry,50,30.0
8479193,Casey DeSmith,22,26.0
8480394,Alex D'Orio,0,0
8481758,Filip Lindberg,0,0
8476999,Linus Ullmark,18,27.333333333333332
8477234,Troy Grosenick,2,2.0
8478473,Callum Booth,0,0
8480280,Jeremy Swayman,14,14.0
8480356,Kyle Keyser,0,0
8467950,Craig Anderson,4,20.0
8474682,Dustin Tokarski,4,4.0
8477180,Aaron Dell,2,15.333333333333334
8480045,Ukko-Pekka Luukkonen,2,2.0
8471679,Carey Price,24,49.333333333333336
8474596,Jake Allen,22,28.0
8476341,Anton Forsberg,6,4.0
8476899,Matt Murray,20,39.333333333333336
8480867,Kevin Mandolese,0,0
8481544,Mads Sogaard,0,0
8482447,Leevi Merilainen,0,0
8474636,Michael Hutchinson,8,8.0
8475789,Jack Campbell,34,25.333333333333332
8475852,Petr Mrazek,12,33.333333333333336
8478902,Erik Kallgren,0,0
8479361,Joseph Woll,0,0
8475883,Frederik Andersen,26,52.0
8477293,Antti Raanta,10,16.666666666666668
8479312,Alex Lyon,2,1.3333333333333333
8480199,Eetu Makiniemi,0,0
8481772,Beck Warm,0,0
8475683,Sergei Bobrovsky,38,52.666666666666664
8476444,Christopher Gibson,2,1.0
8478470,Sam Montembeault,0,9.0
8481519,Spencer Knight,8,8.0
8470880,Brian Elliott,30,28.0
8476509,Maxime Lagace,2,1.0
8476883,Andrei Vasilevskiy,62,70.0
8481597,Hugo Alnefelt,0,0
8482501,Amir Miftakhov,0,0
8477970,Vitek Vanecek,42,42.0
8478492,Ilya Samsonov,26,29.0
8470594,Marc-Andre Fleury,52,58.666666666666664
8476876,Malcolm Subban,12,15.333333333333334
8480420,Collin Delia,2,7.0
8480947,Kevin Lankinen,34,34.0
8482821,Arvid Soderblom,0,0
8482135,Jan Bednar,0,0
8471306,Thomas Greiss,16,31.333333333333332
8475717,Calvin Pickard,4,4.0
8477968,Alex Nedeljkovic,30,11.333333333333334
8480363,Kaden Fulcher,0,0.0
8480997,Victor Brattstrom,0,0
8482657,Sebastian Cossa,0,0
8477424,Juuse Saros,42,36.666666666666664
8478971,Connor Ingram,0,0
8479496,David Rittich,10,37.333333333333336
8480233,Tomas Vomacka,0,0
8482445,Devin Cooley,0,0
8482205,Will Cranley,0,0
8476412,Jordan Binnington,36,48.0
8478024,Ville Husso,18,18.0
8479292,Charlie Lindgren,0,3.0
8480981,Joel Hofer,0,0
8481551,Colten Ellis,0,0
8474593,Jacob Markstrom,44,48.666666666666664
8478435,Dan Vladar,4,4.0
8479530,Adam Werner,0,2.0
8481692,Dustin Wolf,0,0
8475311,Darcy Kuemper,20,35.333333333333336
8477992,Jonas Johansson,10,6.0
8480112,Hunter Miska,2,1.0
8480925,Pavel Francouz,0,21.0
8481020,Justus Annunen,0,0
8481529,Trent Miner,0,0
8469608,Mike Smith,42,42.0
8471774,Alex Stalock,0,26.0
8475156,Mikko Koskinen,26,37.333333333333336
8479973,Stuart Skinner,2,2.0
8480885,Olivier Rodrigue,0,0
8481709,Ilya Konovalov,0,0
8470860,Jaroslav Halak,18,32.666666666666664
8477484,Spencer Martin,0,0
8477967,Thatcher Demko,32,22.0
8481668,Arturs Silovs,0,0
8476434,John Gibson,18,36.666666666666664
8476932,Anthony Stolarz,8,5.333333333333333
8480042,Olle Eriksson Ek,0,0
8480843,Lukas Dostal,0,0
8481036,Roman Durny,0,0
8471750,Ben Bishop,0,48.0
8482465,Remi Poirier,0,0
8471418,Anton Khudobin,24,29.333333333333332
8474651,Braden Holtby,14,42.666666666666664
8479589,Colton Point,0,0
8479979,Jake Oettinger,22,22.0
8482642,Adam Scheel,0,0
8471734,Jonathan Quick,22,28.666666666666668
8476343,Garret Sparks,0,8.0
8477361,Calvin Petersen,18,12.666666666666666
8480857,Jacob Ingham,0,0
8473503,James Reimer,30,28.0
8478499,Adin Hill,18,12.0
8479313,Zach Sawchenko,0,0
8481002,Zachary Emond,0,0
8482246,Alexei Melnichuk,0,0.0
8476914,Joonas Korpisalo,18,25.333333333333332
8478007,Elvis Merzlikins,16,21.0
8480193,Daniil Tarasov,0,0
8480760,Cameron Johnson,0,0
8475660,Cam Talbot,38,28.0
8477202,Andrew Hammond,0,0
8478039,Kaapo Kahkonen,32,19.0
8481545,Hunter Jones,0,0
8476945,Connor Hellebuyck,48,59.333333333333336
8477480,Eric Comrie,2,0.6666666666666666
8479574,Mikhail Berdin,0,0
8475622,Carter Hutton,2,20.666666666666668
8480373,Josef Korenar,6,6.0
8475215,Robin Lehner,26,38.0
8476316,Laurent Brossoit,12,16.666666666666668
8480313,Logan Thompson,0,0.0
8478916,Joey Daccord,2,1.0
8475831,Philipp Grubauer,60,44.0
8476904,Chris Driedger,28,21.0
8477312,Antoine Bibeau,0,2.0
